Nombre recurso;LOID;ID;Página;Tipo;Enlace;Texto principal;Texto adicional
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Escoge tu camino;Lista;;<em>Ciencia de la buena</em>;(La ciencia y la pseudociencia)
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Escoge tu camino;Lista;;<em>Cómo se hacía ciencia en la Antigüedad</em>;(La ciencia desde la Grecia clásica hasta el renacimiento)
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Escoge tu camino;Lista;;<em>Parecidos pero distintos: teorías, leyes y modelos</em>;(Los errores en la ciencia como método de avance)
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Escoge tu camino;Lista;;<em>Paso a paso hasta la meta</em>;(Los pasos del método científico)
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Escoge tu camino;Lista;;<em>Si no lo veo, no lo creo</em>;(La experimentación científica)
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Escoge tu camino;Lista;;<em>Los números dirán si es cierto</em>;(La investigación teórica)
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Escoge tu camino;Lista;;<em>¡No seas un científico loco!</em>;(La seguridad en el laboratorio)
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Escoge tu camino;Lista;;<em>Qué es qué en el laboratorio</em>;(El material de laboratorio)
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Escoge tu camino;Enlace;http://agrega.educacion.es///repositorio/30112020/06/es_2020113011_9194401/index.html;El método científico;, unidad didáctica en el portal Agrega.
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Escoge tu camino;Enlace;https://www.youtube.com/watch?v=kd0JYqDGh_E;¿Cómo puedes ser investigador científico?;, vídeo sobre el método científico, en Date un Voltio.
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Escoge tu camino;Enlace;https://www.youtube.com/watch?v=4-Ob1dG_zpI;El mundo de Beakman;, documental sobre el mundo científico a partir de este programa de televisión educativo y de divulgación científica de Canal Once.
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Escoge tu camino;Inglés;https://www.youtube.com/watch?v=yi0hwFDQTSQ;The Scientific Method: Steps, Examples, Tips and Exercise;, video sobre el método científico, de Sprouts.
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Ve más allá;Lista;;Repasa las reglas del método;
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Ve más allá;Lista;;Señala las características de la hipótesis;
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Ve más allá;Lista;;Ordena los pasos del método;
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Ve más allá;Lista;;Identifica los experimentos que siguen el método científico;
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Ve más allá;Lista;;Competencias: aplicación de las reglas del método científico;
Desafío: El método científico;CN_07_19_LM_Recurso270;131983;Meta;Título;;"Ahora ya sabes cuál es el camino que debemos recorrer para descubrir los pasos que hay que seguir en la investigación científica.
¿Serás capaz de superar la última prueba?";
Desafío: El reino de las plantas: funciones;CN_07_18_LM_Recurso290;131852;Escoge tu camino;Lista;;<em>Cómo saber que una planta está viva</em>;(Las funciones vitales en las plantas)
Desafío: El reino de las plantas: funciones;CN_07_18_LM_Recurso290;131852;Escoge tu camino;Lista;;<em>Creando materia viva</em>;(La fotosíntesis)
Desafío: El reino de las plantas: funciones;CN_07_18_LM_Recurso290;131852;Escoge tu camino;Lista;;<em>Las plantas también respiran</em>;(La respiración en las plantas)
Desafío: El reino de las plantas: funciones;CN_07_18_LM_Recurso290;131852;Escoge tu camino;Lista;;<em>Circulando entre vasos</em>;(El transporte de sustancias en las plantas)
Desafío: El reino de las plantas: funciones;CN_07_18_LM_Recurso290;131852;Escoge tu camino;Lista;;<em>Los frutos, los contenedores de semillas</em>;(Las partes y funciones de los frutos)
Desafío: El reino de las plantas: funciones;CN_07_18_LM_Recurso290;131852;Escoge tu camino;Lista;;<em>La flor, la parte más sexi de la planta</em>;(Los órganos sexuales en las flores de las angiospermas)
Desafío: El reino de las plantas: funciones;CN_07_18_LM_Recurso290;131852;Escoge tu camino;Lista;;<em>Fotocopiando plantas</em>;(La reproducción asexual en las plantas)
Desafío: El reino de las plantas: funciones;CN_07_18_LM_Recurso290;131852;Escoge tu camino;Lista;;<em>Despacito, pero se mueven</em>;(Los tropismos y las nastias)
Desafío: El reino de las plantas: funciones;CN_07_18_LM_Recurso290;131852;Escoge tu camino;Enlace;https://natureduca.com/botanica-indice.php;Naturaleza educativa;, portal educativo de ciencias naturales y aplicadas.
Desafío: El reino de las plantas: funciones;CN_07_18_LM_Recurso290;131852;Escoge tu camino;Enlace;http://recursostic.educacion.es/ciencias/biosfera/web/alumno/1ESO/reino_vegetal/index.htm;El Reino Vegetal;, características de gran variedad de plantas que existen en la naturaleza, en el Proyecto Biosfera.
Desafío: El reino de las plantas: funciones;CN_07_18_LM_Recurso290;131852;Escoge tu camino;Enlace;https://www.biopedia.com/plantas/;Biopedia;, selección de artículos sobre las plantas en esta enciclopedia ilustrada de la vida en la Tierra.
Desafío: El reino de las plantas: funciones;CN_07_18_LM_Recurso290;131852;Escoge tu camino;Enlace;https://www.youtube.com/user/lavideoeduteca/search;Plantas;, selección de videos sobre las plantas, en La Eduteca.
Desafío: El reino de las plantas: funciones;CN_07_18_LM_Recurso290;131852;Escoge tu camino;Inglés;https://www.natgeokids.com/uk/;National Geographic Kids;", portal de esta revista orientada hacia sus lectores más jóvenes sobre cuestiones relacionadas con la ciencia en general."
